Country,Happiness Score,GDP Per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption,Dystopia
Finland,7.804,10.792,0.969,71.150,0.961,-0.019,0.182,2.363
Denmark,7.586,10.962,0.954,71.250,0.934,0.134,0.196,2.084
Iceland,7.530,10.896,0.983,72.050,0.936,0.211,0.668,2.250
Israel,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,2.691
Netherlands,7.403,10.942,0.930,71.550,0.887,0.213,0.379,2.110
Sweden,7.395,10.883,0.939,72.150,0.948,0.165,0.202,1.903
Norway,7.315,11.088,0.943,71.500,0.947,0.141,0.283,1.829
Switzerland,7.240,11.164,0.920,72.900,0.891,0.027,0.266,1.870
Luxembourg,7.228,11.660,0.879,71.675,0.915,0.024,0.345,1.845
New Zealand,7.123,10.662,0.952,70.350,0.887,0.175,0.271,1.852
Austria,7.097,10.899,0.888,71.150,0.855,0.102,0.497,2.124
Australia,7.095,10.821,0.934,71.050,0.890,0.198,0.496,1.938
Canada,6.961,10.773,0.929,71.400,0.874,0.153,0.420,1.815
Ireland,6.911,11.527,0.905,71.300,0.874,0.092,0.358,1.545
United States,6.894,11.048,0.919,65.850,0.800,0.137,0.689,2.124
Germany,6.892,10.879,0.896,71.300,0.846,0.030,0.420,1.898
Belgium,6.859,10.844,0.915,70.899,0.825,0.001,0.549,1.976
Czechia,6.845,10.611,0.953,69.050,0.903,0.040,0.859,2.099
United Kingdom,6.796,10.704,0.882,70.300,0.852,0.253,0.454,1.822
Lithuania,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,2.377
France,6.661,10.701,0.909,72.300,0.819,-0.100,0.553,1.872
Slovenia,6.650,10.588,0.951,71.052,0.913,0.014,0.771,1.799
Costa Rica,6.609,9.952,0.872,70.000,0.895,-0.070,0.768,2.281
Romania,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,2.485
Singapore,6.587,11.571,0.878,73.800,0.878,0.063,0.146,1.067
United Arab Emirates,6.571,11.145,0.826,66.243,0.942,0.096,0.584,1.752
Taiwan Province of China,6.535,10.797,0.884,69.600,0.804,-0.129,0.681,1.974
Uruguay,6.494,10.037,0.913,67.500,0.895,-0.065,0.575,1.958
Slovakia,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,2.078
Saudi Arabia,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,1.936
Estonia,6.455,10.541,0.946,69.650,0.929,0.032,0.409,1.383
Spain,6.436,10.540,0.932,72.350,0.782,-0.066,0.711,1.789
Italy,6.405,10.634,0.882,72.050,0.711,-0.074,0.842,2.052
Kosovo,6.368,9.359,0.844,65.195,0.861,0.259,0.866,2.393
Chile,6.334,10.114,0.889,70.300,0.792,-0.011,0.823,2.040
Mexico,6.330,9.850,0.804,65.800,0.856,-0.094,0.768,2.389
Malta,6.300,10.661,0.923,71.600,0.886,0.119,0.729,1.429
Panama,6.265,10.305,0.896,68.950,0.855,-0.133,0.878,1.943
Poland,6.260,10.453,0.925,69.049,0.765,-0.031,0.736,1.772
Nicaragua,6.259,8.618,0.853,65.650,0.877,0.021,0.625,2.448
Latvia,6.213,10.370,0.937,66.400,0.818,-0.056,0.830,1.808
